,hash,block_number,from_address,to_address,OFAC sanctioned address interacted,sanctioned_type,merge,delay,included_in_block_num
34,0x00eb8389811a3aeb183a11d1d7b7ee4359468e557e40268103585f39535bdadd,15470433,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,7.233349,15470433.0
35,0xae5c33053a3c84fce832251f6aa67a9818d4c2601b0f3e0ee99b1fe2b04aad01,15470460,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,25.447113,15470460.0
36,0xa8c39d4799b9de6d5c690525bdf8e21165ac075fcf1d48ff920d558fb619f158,15470435,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,32.704169,15470435.0
37,0xf7bd63902d2a175f9551909ad49bb01b549db3fa3c233f638b26b098d1273533,15470435,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,7.971701,15470435.0
38,0x6eea7cf6354c40efb9914efda9135f2766c890b7c949ddb8ad42966b44666031,15470464,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,14.275926,15470464.0
39,0xe5f4be6d8d97c80da0396b929ee2513fb396efee8610efa454811e7e59edccc7,15470436,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,33.751963,15470436.0
40,0x17e58817077d55fe28df4eea1d1e6b65c9cff7a97dae15e50fdddc9cc100b5a7,15470436,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,7.520703,15470436.0
41,0x5e2e1b84808301af22a44eb6dcface7e4aa6df87202b88c64e8ffb283eb1ba92,15470439,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,12.57039,15470439.0
42,0xd2df92d9e271572c89c533ea12c50ab98dee8bfc4ff4f39dcd6ff037eff6f6e8,15470553,0xcbd78860218160f4b463612f30806807fe6e804c,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,63.522772,15470553.0
43,0xa298c49fce4e88a5a72d0c68a60329a6b15b00b12166cd86a579eb23b1d0709d,15470751,0x12d92fed171f16b3a05acb1542b40648e7ced384,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,37.313144,15470751.0
44,0x93a62703b852da6be980cd32870eef948a40f2a85041d0be53cc431eff9a79fb,15470783,0x12d92fed171f16b3a05acb1542b40648e7ced384,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,11.337492,15470783.0
45,0x64a82252884f1141ed0e752e622357e4917cb3d53ea243d8de379b9d1a7ac7e3,15471001,0x45d15faa81d5f767a3dcf0468cc9fb75f328db13,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,54.716544,15471001.0
46,0xbdeb0a65d4281f90ca16de7f210c9aa300232e936f4f4ea23b14c7c42c6a1934,15471011,0x45d15faa81d5f767a3dcf0468cc9fb75f328db13,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,13.968702,15471011.0
47,0xd70ef2f19af91b4d34fdde28ffb39fcc111fc9ad4fe98198f9d6cc1692f806a7,15471025,0x45d15faa81d5f767a3dcf0468cc9fb75f328db13,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,50.4144,15471025.0
48,0x064e3676f40451f985abebf728176180a25f0fe9c95e1e4f074a7760e792d05c,15471048,0x45d15faa81d5f767a3dcf0468cc9fb75f328db13,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,11.163472,15471048.0
49,0x728e55a18a27233e0f949072c1ee47f3f63ed47a053cd329dc1443a650e28571,15471126,0xc33a17577c0377db0812ff5327beac53ce395948,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,89.941956,15471126.0
50,0xf06894ae011ff7a528a25b10942450fff39d2df65c27a5bdf3109ca5f0e4f6ad,15471112,0x4ee1919eedcad940b5408c2edf5a462d6fd674f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,17.910983,15471112.0
